village_name,village_alt,village_id,district_id,region_id
ADADA,ADAADA,,2401,24
ALA AMIN,ALA AMIN IPD,,2001,20
ALA AMIN,ALLA AAMIN IDP,,2001,20
ALA AMIN,ALLA AAMINIDP,,2001,20
ALA AMIN,ALLA AMIN IDP,,2001,20
ALA AMIN,ALLA-AAMIN IDP,,2001,20
AWDINLE,AWDIJLE,,2401,24
AWDINLE,AWDIN,,2401,24
AWDINLE,AWDINLE0,,2401,24
DAHAN,DAHAN1,,2001,20
DHARKEYNTA,DHAEKEYNTA,,2001,20
DONSUBAGLE,DOBSUBAGLE,,2001,20
DONSUBAGLE,DONSUBAGL3,,2001,20
DONSUBAGLE,DONSUBAGLE2,,2001,20
DONSUBAGLE,DONSUBAGLE3,,2001,20
DONSUBAGLE,DONSUBUGLE2,,2001,20
DONSUBAGLE,DOONSUBAGLE3,,2001,20
DONSUBAGLE,DOONSUBUGLE,,2001,20
DONSUBAGLE,DOONSUBUGLLE,,2001,20
DOOYNUUNAY,DOOTNUUNAY,,2401,24
DOOYNUUNAY,DOOYNUUNAAY,,2401,24
DOOYNUUNAY,DOOYNUUNEY,,2401,24
FAAFGUMARE,F AAFGUMARE,,2001,20
HALGAN,HALGAN 1,,2001,20
HANTIWADAG,HANTIWADAAG2,,2001,20
HANTIWADAG,HANTIWADAG2,,2001,20
HANTIWADAG,HANTIWDAG2,,2001,20
HEEGAN,HEEGAN 4,,2001,20
HEEGAN,HEEGAN1,,2001,20
HEEGAN,HEEGAN2,,2001,20
HELOKALIYO,HELIKALIYO,,2001,20
HELOKALIYO,HELOKILIYO,,2001,20
HILAAC,HILAAC1,,2001,20
HILAAC,HILAAC2,,2001,20
HILAAC,HILAAC3,,2001,20
HILAAC,HILASC3,,2001,20
HILAAC,HILLAAC1,,2001,20
HILAAC,HILLAC3,,2001,20
HODAN,HODAN1,,2001,20
HOLWADAAG,HOLESDAAG,,2401,24
HOLWADAAG,HOLWADAAQ,,2401,24
HOLWADAAG,HOLWQDAAG,,2401,24
HORSED,HORED,,2401,24
HORSED,HORSED2,,2001,20
HORSED,HORSEED,,2401,24
HORSED,HORSEED2,,2001,20
IFITIN,IFTIN1,,2001,20
IFITIN,IFTIN2,,2001,20
JAWIL,JAWIIL,,2001,20
MANYAFUUL,MAYNAFUUL,,2401,24
RADER,RADEER2,,2001,20
RADER,RADER2,,2001,20
RADERKA,RADERKA2,,2001,20
SAHAN,SAHAN1,,2001,20
SHABEELOW,SHABELOOW,,2001,20
SHABEELOW,SHABELOW,,2001,20
SIINAY,SIINAAY,,2001,20
SIINAY,SIINAAY1,,2001,20
SIINAY,SIINAY 1,,2001,20
SIINAY,SIINAY1,,2001,20
SIINAY,SIINAY2,,2001,20
SIINAY,SINAY,,2001,20
SIINAY,SINAY1,,2001,20
TADER,TADER2,,2001,20
TUULO HIIRAN,TUILO HIIRAN,,2001,20
UFTIN,UFTIN2,,2001,20
WADAJIR,WADAJIR 1,,2001,20
WADAJIR,WADAJIR1,,2001,20
WADAJIR,WADAJIR2,,2001,20
WADAJIR,WADIJIR,,2401,24
WADAJIR,WWDAJIR,,2401,24
XUJUB,XUJUUB,,2001,20
TUULO HIIRAN,YUULO HIIRAN,,2001,20
BAAREY,,,2401,24
BACAAD,,,2603,26
BOONKEY,,,2401,24
CEELGAAL,,,2001,20
GARAASH,,,2001,20
GARASGAMAAN,,,2401,24
HIRAN,,,2001,20
HUJUB,,,2001,20
ISHA,,,2401,24
LEEBOW,,,2001,20
MASLAH,,,2216,22
MASLAX,,,2202,22
MOORAQASAALI,,,2401,24
NEW BAIDOA,,,2401,24
SIGALOW,,,2001,20
TOWFIIQ,,,2401,24
WABERI,,,2401,24
WARQUMAYO,,,2001,20
